window_start	window_end	avg_conn_duration	number_of_conn	sum_orig_kbytes	sum_resp_kbytes
27/07/18 10:40	27/07/18 10:50	1.277607928255591	16057	22358	524706
27/07/18 10:50	27/07/18 11:00	1.255667959154524	14004	3841	389233
27/07/18 11:00	27/07/18 11:10	2.734669018902661	14125	12703	413249
27/07/18 11:10	27/07/18 11:20	0.9527145251621844	15877	11268	1045516
27/07/18 11:20	27/07/18 11:30	0.9829365558090997	15338	3592	1419323
27/07/18 11:30	27/07/18 11:40	0.8404983066384389	16058	3661	2731259
27/07/18 11:40	27/07/18 11:50	0.8968372281930453	15706	4807	1562460
27/07/18 11:50	27/07/18 12:00	1.1723961907682878	13042	3264	395562
27/07/18 12:00	27/07/18 12:10	1.1793709621597877	15909	4470	1673073
27/07/18 12:10	27/07/18 12:20	1.102368382950362	15754	3370	509873
27/07/18 12:20	27/07/18 12:30	1.3309807273140786	13191	2993	391617
27/07/18 12:30	27/07/18 12:40	1.2032594008611257	13703	3452	352857
27/07/18 12:40	27/07/18 12:50	0.8619998080834932	15043	3871	503063
27/07/18 12:50	27/07/18 13:00	0.8968793285761899	14995	3116	507387
27/07/18 13:00	27/07/18 13:10	1.006681137415331	14911	5076	388371
27/07/18 13:10	27/07/18 13:20	1.4337558161220127	13770	3134	518541
27/07/18 13:20	27/07/18 13:30	55.30911722497009	15042	24930	1777922
27/07/18 13:30	27/07/18 13:40	1.5217568481587371	17841	605305	517259
27/07/18 13:40	27/07/18 13:50	1.9436059137635657	17510	6229	382217
27/07/18 13:50	27/07/18 14:00	1.6357276883833411	13231	1806463	493364
27/07/18 14:00	27/07/18 14:10	1.2704330839959088	17608	4825	645597
27/07/18 14:10	27/07/18 14:20	1.5155749182413258	16194	3370	514707
27/07/18 14:20	27/07/18 14:30	1.180722992014602	13149	2602	367564
27/07/18 14:30	27/07/18 14:40	1.7551390039444787	13690	3226	357804
27/07/18 14:40	27/07/18 14:50	1.532865530416364	28340	8205	526936
27/07/18 14:50	27/07/18 15:00	1.0029002405216147	24846	5033	525842
27/07/18 15:00	27/07/18 15:10	1.264492357142858	15540	4459	384332
27/07/18 15:10	27/07/18 15:20	1.4258470838504864	13858	3893	409169
27/07/18 15:20	27/07/18 15:30	4.751315103643229	14328	28887	888368
27/07/18 15:30	27/07/18 15:40	0.8455810080686167	15740	3317	529614
27/07/18 15:40	27/07/18 15:50	0.9675040025430163	18482	4310	400991
27/07/18 15:50	27/07/18 16:00	0.9983695706288617	13755	604210	365853
27/07/18 16:00	27/07/18 16:10	1.7390976724679275	14652	1053242	556292
27/07/18 16:10	27/07/18 16:20	0.8335376932809152	13990	3136	507996
27/07/18 16:20	27/07/18 16:30	0.9824483723811681	13317	2752	369384
27/07/18 16:30	27/07/18 16:40	0.9254504797575397	13363	3046	364041
27/07/18 16:40	27/07/18 16:50	0.9196455080358327	15182	6275	513174
27/07/18 16:50	27/07/18 17:00	1.0799178509223706	15341	3225	528457
27/07/18 17:00	27/07/18 17:10	1.0630363130731506	14067	3343	379706
27/07/18 17:10	27/07/18 17:20	15.558534318024359	13282	11868	364186
27/07/18 17:20	27/07/18 17:30	1.6423618399091664	14092	2706	543416
27/07/18 17:30	27/07/18 17:40	1.3505171881269853	15750	3380	517033
27/07/18 17:40	27/07/18 17:50	2.0036671528537693	14805	4195	370829
27/07/18 17:50	27/07/18 18:00	1.8645126307328233	12254	2777	618769
27/07/18 18:00	27/07/18 18:10	0.8867212262210831	14393	3390	552748
27/07/18 18:10	27/07/18 18:20	5.250115223594146	15631	26296	868804
27/07/18 18:20	27/07/18 18:30	3.3485678548020483	13182	4333	368156
27/07/18 18:30	27/07/18 18:40	1.3669962851805733	13651	3481	383600
27/07/18 18:40	27/07/18 18:50	0.9562115183353372	14153	3565	520966
27/07/18 18:50	27/07/18 19:00	3.0843898329544084	14954	4211	552817
27/07/18 19:00	27/07/18 19:10	1.4521842444395514	13623	4291	369262
27/07/18 19:10	27/07/18 19:20	1.2839640806597397	13278	5958	360231
27/07/18 19:20	27/07/18 19:30	0.9944899732286787	14269	3408	555600
27/07/18 19:30	27/07/18 19:40	0.6652698138578558	14591	3059	544468
27/07/18 19:40	27/07/18 19:50	0.7297134283460732	16482	4005	359886
27/07/18 19:50	27/07/18 20:00	0.7998972395750128	12518	2658	399544
27/07/18 20:00	27/07/18 20:10	0.7776855308728735	17070	3959	549757
27/07/18 20:10	27/07/18 20:20	0.8675581458859166	13867	2742	506963
27/07/18 20:20	27/07/18 20:30	0.8897376934466228	11887	2375	358529
